store_name,region,open_year,store_area,parking_count,competitor_count,market_density,performance_excluding_tax23,population23,household23,longitude,latitude,competition_index,competition_log,population_log,area_log,household_size,demand_competition_ratio,parking_per_area,sales_per_person,sales_per_competitor,store_efficiency,predicted_sales,opportunity_gap,priority_score,expected_after_online,estimated_cost,roi,strategy,grade
구미점,경상북도,2002,3560,936,3,45,615,150519,63669,128.364914534,36.109409596,48,3.8918202981106265,11.921851244707373,8.177796683277778,2.3640861329689487,3135.8125,0.26292134831460673,0.004085862914316465,12.8125,0.17275280898876405,630.336031113855,15.336031113855029,182.83388162358358,724.8864357809332,31.51680155569275,3.48659858732032,공격 투자,B
광주점,광주,2006,3560,2300,1,6,1034,146459,64044,126.882008011,35.158678207,7,2.0794415416798357,11.894507632615062,8.177796683277778,2.286849665854725,20922.714285714286,0.6460674157303371,0.007059996312961307,147.71428571428572,0.29044943820224717,1047.10222633349,13.10222633349008,155.84453112794782,1204.1675602835135,52.35511131667451,3.250256870895374,공격 투자,B
사상점,부산광역시,2003,3720,577,2,13,988,112760,52428,128.978890794,35.1642474,15,2.772588722239781,11.633025813581773,8.221747728346623,2.1507591363393606,7517.333333333333,0.15510752688172044,0.008761972330613692,65.86666666666666,0.26559139784946234,1001.263950430516,13.263950430516047,154.29987774826225,1151.4535429950934,50.06319752152581,3.264944132360159,공격 투자,B
의정부점,경기,2013,4370,688,1,1,719,282546,119854,127.102373187,37.743204697,2,1.0986122886681098,12.551600187411815,8.382747094863314,2.3574181921337627,141273.0,0.1574370709382151,0.0025447183821395453,359.5,0.16453089244851257,730.3943151141281,11.394315114128062,143.01688772191906,839.9534623812472,36.51971575570641,3.312004485203243,공격 투자,B
파주점,경기도,2004,2740,600,1,1,530,246727,102194,126.750831606,37.747134985,2,1.0986122886681098,12.416041794252939,7.916078096302786,2.4143002524610053,123363.5,0.21897810218978103,0.002148123229318234,265.0,0.19343065693430658,540.706722206891,10.706722206890959,132.9351104002142,621.8127305379246,27.03533611034455,3.3960269686750535,공격 투자,B
보령점,충청남도,2008,2470,300,2,5,307,35779,18450,126.588749947,36.343996484,7,2.0794415416798357,10.48514435706271,7.81237820598861,1.9392411924119242,5111.285714285715,0.1214574898785425,0.008580452220576316,43.857142857142854,0.1242914979757085,318.1408010465508,11.140801046550791,116.81290722640037,365.86192120353337,15.90704005232754,3.700369208218635,공격 투자,B
여의도점,서울특별시,2008,1210,280,1,6,334,162097,77177,126.925265745,37.518114096,7,2.0794415416798357,11.995956369584729,7.099201743553092,2.1003278178732008,23156.714285714286,0.23140495867768596,0.002060494642097016,47.714285714285715,0.27603305785123966,343.32055875464897,9.320558754648971,111.80901616092002,394.81864256784627,17.166027937732448,3.5429653725636503,공격 투자,B
천안터미널점,충청남도,2010,1920,1603,2,18,452,122885,55332,127.156664628,36.819822523,20,3.044522437723423,11.719012375314446,7.560601162768557,2.2208667678739245,6144.25,0.8348958333333333,0.0036782357488708956,22.6,0.23541666666666666,461.4762806917346,9.476280691734587,111.05265069839096,530.6977227954948,23.073814034586732,3.4106941608149395,공격 투자,B
분당점,경기도,1996,3720,779,1,2,857,359065,141442,127.119755812,37.358781972,3,1.3862943611198906,12.791261494584319,8.221747728346623,2.5386023953281205,119688.33333333333,0.20940860215053764,0.0023867544873490873,285.6666666666667,0.2303763440860215,865.2083829838481,8.208382983848082,104.99557319409712,994.9896404314252,43.26041914919241,3.1897434917479575,공격 투자,B
묵동점,서울특별시,2011,1380,217,1,13,276,155939,74961,127.077545037,37.613834815,14,2.70805020110221,11.957226596863592,7.2305631534092925,2.08026840623791,11138.5,0.1572463768115942,0.0017699228544494963,19.714285714285715,0.2,283.8021776769341,7.802177676934093,93.29240643209172,326.3725043284742,14.190108883846705,3.5498321218532483,공격 투자,B
